"ID","County","State","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31"
1001,"Autauga","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
1003,"Baldwin","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,5,5,5,6,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9
1005,"Barbour","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1007,"Bibb","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1009,"Blount","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1011,"Bullock","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,5
1013,"Butler","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,6,6,8,9,9,9,10,10,11,11,11,11,11,12,13,13,13,16,17,18
1015,"Calhoun","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1017,"Chambers","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,5,6,6,7,8,8,8,8,8,8,8,10,10,11,11,11,11,13,16,16,16,17,18,18,18,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,24,24,24,24,24,25,25
1019,"Cherokee","Alabama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3
